"architecture","replicate","method","chain","status","error_class","error_message"
"sparse_homogeneous",1,"st_bed_bayesc",1,"ok","",""
"sparse_homogeneous",1,"st_bed_bayesc",2,"ok","",""
"sparse_homogeneous",1,"st_bed_bayesc",3,"ok","",""
"sparse_homogeneous",1,"st_bed_bayesc",4,"ok","",""
"sparse_homogeneous",1,"st_csr_sbayesc",1,"ok","",""
"sparse_homogeneous",1,"st_csr_sbayesc",2,"ok","",""
"sparse_homogeneous",1,"st_csr_sbayesc",3,"ok","",""
"sparse_homogeneous",1,"st_csr_sbayesc",4,"ok","",""
"sparse_mixture",1,"st_bed_bayesr",1,"ok","",""
"sparse_mixture",1,"st_bed_bayesr",2,"ok","",""
"sparse_mixture",1,"st_bed_bayesr",3,"ok","",""
"sparse_mixture",1,"st_bed_bayesr",4,"ok","",""
"sparse_mixture",1,"st_csr_sbayesr",1,"ok","",""
"sparse_mixture",1,"st_csr_sbayesr",2,"ok","",""
"sparse_mixture",1,"st_csr_sbayesr",3,"ok","",""
"sparse_mixture",1,"st_csr_sbayesr",4,"ok","",""
"sparse_homogeneous",2,"st_bed_bayesc",1,"ok","",""
"sparse_homogeneous",2,"st_bed_bayesc",2,"ok","",""
"sparse_homogeneous",2,"st_bed_bayesc",3,"ok","",""
"sparse_homogeneous",2,"st_bed_bayesc",4,"ok","",""
"sparse_homogeneous",2,"st_csr_sbayesc",1,"ok","",""
"sparse_homogeneous",2,"st_csr_sbayesc",2,"ok","",""
"sparse_homogeneous",2,"st_csr_sbayesc",3,"ok","",""
"sparse_homogeneous",2,"st_csr_sbayesc",4,"ok","",""
"sparse_mixture",2,"st_bed_bayesr",1,"ok","",""
"sparse_mixture",2,"st_bed_bayesr",2,"ok","",""
"sparse_mixture",2,"st_bed_bayesr",3,"ok","",""
"sparse_mixture",2,"st_bed_bayesr",4,"ok","",""
"sparse_mixture",2,"st_csr_sbayesr",1,"ok","",""
"sparse_mixture",2,"st_csr_sbayesr",2,"ok","",""
"sparse_mixture",2,"st_csr_sbayesr",3,"ok","",""
"sparse_mixture",2,"st_csr_sbayesr",4,"ok","",""
"sparse_homogeneous",3,"st_bed_bayesc",1,"ok","",""
"sparse_homogeneous",3,"st_bed_bayesc",2,"ok","",""
"sparse_homogeneous",3,"st_bed_bayesc",3,"ok","",""
"sparse_homogeneous",3,"st_bed_bayesc",4,"ok","",""
"sparse_homogeneous",3,"st_csr_sbayesc",1,"ok","",""
"sparse_homogeneous",3,"st_csr_sbayesc",2,"ok","",""
"sparse_homogeneous",3,"st_csr_sbayesc",3,"ok","",""
"sparse_homogeneous",3,"st_csr_sbayesc",4,"ok","",""
"sparse_mixture",3,"st_bed_bayesr",1,"ok","",""
"sparse_mixture",3,"st_bed_bayesr",2,"ok","",""
"sparse_mixture",3,"st_bed_bayesr",3,"ok","",""
"sparse_mixture",3,"st_bed_bayesr",4,"ok","",""
"sparse_mixture",3,"st_csr_sbayesr",1,"ok","",""
"sparse_mixture",3,"st_csr_sbayesr",2,"ok","",""
"sparse_mixture",3,"st_csr_sbayesr",3,"ok","",""
"sparse_mixture",3,"st_csr_sbayesr",4,"ok","",""
"sparse_homogeneous",4,"st_bed_bayesc",1,"ok","",""
"sparse_homogeneous",4,"st_bed_bayesc",2,"ok","",""
"sparse_homogeneous",4,"st_bed_bayesc",3,"ok","",""
"sparse_homogeneous",4,"st_bed_bayesc",4,"ok","",""
"sparse_homogeneous",4,"st_csr_sbayesc",1,"ok","",""
"sparse_homogeneous",4,"st_csr_sbayesc",2,"ok","",""
"sparse_homogeneous",4,"st_csr_sbayesc",3,"ok","",""
"sparse_homogeneous",4,"st_csr_sbayesc",4,"ok","",""
"sparse_mixture",4,"st_bed_bayesr",1,"ok","",""
"sparse_mixture",4,"st_bed_bayesr",2,"ok","",""
"sparse_mixture",4,"st_bed_bayesr",3,"ok","",""
"sparse_mixture",4,"st_bed_bayesr",4,"ok","",""
"sparse_mixture",4,"st_csr_sbayesr",1,"ok","",""
"sparse_mixture",4,"st_csr_sbayesr",2,"ok","",""
"sparse_mixture",4,"st_csr_sbayesr",3,"ok","",""
"sparse_mixture",4,"st_csr_sbayesr",4,"ok","",""
"sparse_homogeneous",5,"st_bed_bayesc",1,"ok","",""
"sparse_homogeneous",5,"st_bed_bayesc",2,"ok","",""
"sparse_homogeneous",5,"st_bed_bayesc",3,"ok","",""
"sparse_homogeneous",5,"st_bed_bayesc",4,"ok","",""
"sparse_homogeneous",5,"st_csr_sbayesc",1,"ok","",""
"sparse_homogeneous",5,"st_csr_sbayesc",2,"ok","",""
"sparse_homogeneous",5,"st_csr_sbayesc",3,"ok","",""
"sparse_homogeneous",5,"st_csr_sbayesc",4,"ok","",""
"sparse_mixture",5,"st_bed_bayesr",1,"ok","",""
"sparse_mixture",5,"st_bed_bayesr",2,"ok","",""
"sparse_mixture",5,"st_bed_bayesr",3,"ok","",""
"sparse_mixture",5,"st_bed_bayesr",4,"ok","",""
"sparse_mixture",5,"st_csr_sbayesr",1,"ok","",""
"sparse_mixture",5,"st_csr_sbayesr",2,"ok","",""
"sparse_mixture",5,"st_csr_sbayesr",3,"ok","",""
"sparse_mixture",5,"st_csr_sbayesr",4,"ok","",""
